datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
2021-01-01 00:00:00,0.0000,0.0000,0.0000,28944.4000,0.0000
2021-01-02 00:00:00,437.0604,0.0000,437.0604,29381.4604,437.0604
2021-01-03 00:00:00,3247.5617,0.0000,3247.5617,32191.9617,2810.5012
2021-01-04 00:00:00,4104.3159,0.0000,4104.3159,33048.7159,856.7542
2021-01-05 00:00:00,2949.4344,0.0000,2949.4344,31893.8344,-1154.8816
2021-01-06 00:00:00,5215.7809,0.0000,5215.7809,34160.1809,2266.3465
2021-01-07 00:00:00,8498.0758,0.0000,8498.0758,37442.4758,3282.2950
2021-01-08 00:00:00,11667.4876,0.0000,11667.4876,40611.8876,3169.4118
2021-01-09 00:00:00,13088.6577,0.0000,13088.6577,42033.0577,1421.1700
2021-01-10 00:00:00,12544.5030,0.0000,12544.5030,41488.9030,-544.1547
2021-01-11 00:00:00,9638.4852,0.0000,9638.4852,38582.8852,-2906.0178
2021-01-12 00:00:00,5719.4134,0.0000,5719.4134,34663.8134,-3919.0718
2021-01-13 00:00:00,3592.0000,0.0000,3592.0000,32536.4000,-2127.4134
2021-01-14 00:00:00,8654.3756,0.0000,8654.3756,37598.7756,5062.3756
2021-01-15 00:00:00,11314.3660,0.0000,11314.3660,40258.7660,2659.9904
2021-01-16 00:00:00,7406.8720,0.0000,7406.8720,36351.2720,-3907.4940
2021-01-17 00:00:00,6217.2571,0.0000,6217.2571,35161.6571,-1189.6148
2021-01-18 00:00:00,5919.1298,0.0000,5919.1298,34863.5298,-298.1273
2021-01-19 00:00:00,6561.6955,0.0000,6561.6955,35506.0955,642.5657
2021-01-20 00:00:00,6011.7519,0.0000,6011.7519,34956.1519,-549.9436
2021-01-21 00:00:00,5725.2023,0.0000,5725.2023,34669.6023,-286.5496
2021-01-22 00:00:00,2680.2514,0.0000,2680.2514,31624.6514,-3044.9509
2021-01-23 00:00:00,3968.2772,0.0000,3968.2772,32912.6772,1288.0258
2021-01-24 00:00:00,3461.7502,0.0000,3461.7502,32406.1502,-506.5270
2021-01-25 00:00:00,3525.4279,0.0000,3525.4279,32469.8279,63.6777
2021-01-26 00:00:00,3519.6390,0.0000,3519.6390,32464.0390,-5.7889
2021-01-27 00:00:00,3603.5778,0.0000,3603.5778,32547.9778,83.9388
2021-01-28 00:00:00,2868.3900,0.0000,2868.3900,31812.7900,-735.1878
2021-01-29 00:00:00,3791.7164,0.0000,3791.7164,32736.1164,923.3264
2021-01-30 00:00:00,4008.7994,0.0000,4008.7994,32953.1994,217.0830
2021-01-31 00:00:00,4043.5327,0.0000,4043.5327,32987.9327,34.7333
2021-02-01 00:00:00,3832.2386,0.0000,3832.2386,32776.6386,-211.2941
2021-02-02 00:00:00,3890.1274,0.0000,3890.1274,32834.5274,57.8888
2021-02-03 00:00:00,4043.5327,0.0000,4043.5327,32987.9327,153.4053
2021-02-04 00:00:00,4104.3159,0.0000,4104.3159,36702.4759,60.7832
2021-02-05 00:00:00,4178.2480,0.0000,4178.2480,36776.4080,73.9321
2021-02-06 00:00:00,4081.8148,0.0000,4081.8148,36679.9748,-96.4332
2021-02-07 00:00:00,5100.7923,0.0000,5100.7923,37698.9523,1018.9775
2021-02-08 00:00:00,4483.6198,0.0000,4483.6198,37081.7798,-617.1725
2021-02-09 00:00:00,15714.8732,0.0000,15714.8732,48313.0332,11231.2534
2021-02-10 00:00:00,15727.7310,0.0000,15727.7310,48325.8910,12.8578
2021-02-11 00:00:00,13005.1003,0.0000,13005.1003,45603.2603,-2722.6307
2021-02-12 00:00:00,18112.8454,0.0000,18112.8454,50711.0054,5107.7452
2021-02-13 00:00:00,16987.7914,0.0000,16987.7914,49585.9514,-1125.0540
2021-02-14 00:00:00,16537.7698,0.0000,16537.7698,49135.9298,-450.0216
2021-02-15 00:00:00,18987.1731,0.0000,18987.1731,51585.3331,2449.4033
2021-02-16 00:00:00,17633.8939,0.0000,17633.8939,50232.0539,-1353.2792
2021-02-17 00:00:00,19752.2098,0.0000,19752.2098,52350.3698,2118.3160
2021-02-18 00:00:00,25287.4755,0.0000,25287.4755,57885.6355,5535.2657
2021-02-19 00:00:00,24686.3752,0.0000,24686.3752,57284.5352,-601.1003
2021-02-20 00:00:00,29504.8208,0.0000,29504.8208,62102.9808,4818.4456
2021-02-21 00:00:00,29485.5342,0.0000,29485.5342,62083.6942,-19.2866
2021-02-22 00:00:00,31333.8372,0.0000,31333.8372,63931.9972,1848.3030
2021-02-23 00:00:00,27055.4175,0.0000,27055.4175,59653.5775,-4278.4196
2021-02-24 00:00:00,20227.9470,0.0000,20227.9470,52826.1070,-6827.4706
2021-02-25 00:00:00,21311.2132,0.0000,21311.2132,53909.3732,1083.2663
2021-02-26 00:00:00,17492.4585,0.0000,17492.4585,50090.6185,-3818.7547
2021-02-27 00:00:00,16730.6362,0.0000,16730.6362,49328.7962,-761.8223
2021-02-28 00:00:00,16592.4153,0.0000,16592.4153,49190.5753,-138.2209
