datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-03-21 00:00:00,1.7324,0.0000,0.0000
2021-03-22 00:00:00,1.7254,-0.0040,-0.0040
2021-03-23 00:00:00,1.6944,-0.0219,-0.0180
2021-03-24 00:00:00,1.6961,-0.0210,0.0010
2021-03-25 00:00:00,1.6752,-0.0330,-0.0123
2021-03-26 00:00:00,1.6655,-0.0386,-0.0058
2021-03-27 00:00:00,1.7009,-0.0182,0.0213
2021-03-28 00:00:00,1.7090,-0.0135,0.0048
2021-03-29 00:00:00,1.7081,-0.0140,-0.0005
2021-03-30 00:00:00,1.7313,-0.0006,0.0136
2021-03-31 00:00:00,1.7462,0.0080,0.0086
2021-04-01 00:00:00,1.7470,0.0084,0.0005
2021-04-02 00:00:00,1.7459,0.0078,-0.0006
2021-04-03 00:00:00,1.7493,0.0098,0.0019
2021-04-04 00:00:00,1.7171,-0.0088,-0.0184
2021-04-05 00:00:00,1.7269,-0.0032,0.0057
2021-04-06 00:00:00,1.7375,0.0029,0.0061
2021-04-07 00:00:00,1.7231,-0.0054,-0.0083
2021-04-08 00:00:00,1.7032,-0.0169,-0.0115
2021-04-09 00:00:00,1.7228,-0.0055,0.0115
2021-04-10 00:00:00,1.7225,-0.0057,-0.0002
2021-04-11 00:00:00,1.7406,0.0047,0.0105
2021-04-12 00:00:00,1.7439,0.0066,0.0019
2021-04-13 00:00:00,1.7414,0.0052,-0.0014
2021-04-14 00:00:00,1.7919,0.0343,0.0290
2021-04-15 00:00:00,1.7751,0.0246,-0.0094
2021-04-16 00:00:00,1.7823,0.0288,0.0041
2021-04-17 00:00:00,1.7250,-0.0043,-0.0321
2021-04-18 00:00:00,1.7238,-0.0050,-0.0007
2021-04-19 00:00:00,1.7138,-0.0107,-0.0058
2021-04-20 00:00:00,1.7077,-0.0143,-0.0036
2021-04-21 00:00:00,1.7140,-0.0106,0.0037
2021-04-22 00:00:00,1.6885,-0.0253,-0.0149
2021-04-23 00:00:00,1.6689,-0.0367,-0.0116
2021-04-24 00:00:00,1.6642,-0.0394,-0.0028
2021-04-25 00:00:00,1.6569,-0.0436,-0.0044
2021-04-26 00:00:00,1.6506,-0.0472,-0.0038
2021-04-27 00:00:00,1.6765,-0.0323,0.0157
2021-04-28 00:00:00,1.6809,-0.0297,0.0026
2021-04-29 00:00:00,1.6803,-0.0301,-0.0004
2021-04-30 00:00:00,1.6770,-0.0320,-0.0020
2021-05-01 00:00:00,1.6834,-0.0283,0.0038
2021-05-02 00:00:00,1.6838,-0.0281,0.0002
2021-05-03 00:00:00,1.6814,-0.0294,-0.0014
2021-05-04 00:00:00,1.6819,-0.0292,0.0003
2021-05-05 00:00:00,1.6749,-0.0332,-0.0042
2021-05-06 00:00:00,1.6865,-0.0265,0.0069
2021-05-07 00:00:00,1.6824,-0.0289,-0.0024
2021-05-08 00:00:00,1.6868,-0.0263,0.0026
2021-05-09 00:00:00,1.6953,-0.0214,0.0050
2021-05-10 00:00:00,1.6909,-0.0240,-0.0026
2021-05-11 00:00:00,1.6739,-0.0338,-0.0101
2021-05-12 00:00:00,1.6807,-0.0298,0.0041
2021-05-13 00:00:00,1.6144,-0.0681,-0.0394
2021-05-14 00:00:00,1.6126,-0.0692,-0.0011
2021-05-15 00:00:00,1.6107,-0.0702,-0.0012
2021-05-16 00:00:00,1.6446,-0.0507,0.0210
2021-05-17 00:00:00,1.6485,-0.0484,0.0024
2021-05-18 00:00:00,1.6861,-0.0267,0.0228
2021-05-19 00:00:00,1.6972,-0.0203,0.0066
2021-05-20 00:00:00,1.7931,0.0350,0.0565
2021-05-21 00:00:00,1.7306,-0.0010,-0.0349
2021-05-22 00:00:00,1.7938,0.0354,0.0365
2021-05-23 00:00:00,1.7936,0.0353,-0.0001
2021-05-24 00:00:00,1.8555,0.0711,0.0345
2021-05-25 00:00:00,1.7636,0.0180,-0.0495
2021-05-26 00:00:00,1.7768,0.0256,0.0075
2021-05-27 00:00:00,1.7558,0.0135,-0.0118
2021-05-28 00:00:00,1.7776,0.0261,0.0124
2021-05-29 00:00:00,1.8549,0.0707,0.0435
2021-05-30 00:00:00,1.8546,0.0705,-0.0002
2021-05-31 00:00:00,1.8545,0.0705,-0.0001
2021-06-01 00:00:00,1.8545,0.0705,0.0000
2021-06-02 00:00:00,1.8545,0.0705,0.0000
2021-06-03 00:00:00,1.8533,0.0698,-0.0006
2021-06-04 00:00:00,1.9043,0.0992,0.0275
2021-06-05 00:00:00,1.8280,0.0552,-0.0401
2021-06-06 00:00:00,1.7820,0.0286,-0.0252
2021-06-07 00:00:00,1.7919,0.0343,0.0056
2021-06-08 00:00:00,1.7075,-0.0144,-0.0471
2021-06-09 00:00:00,1.7013,-0.0180,-0.0036
2021-06-10 00:00:00,1.8639,0.0759,0.0956
2021-06-11 00:00:00,1.8335,0.0584,-0.0163
2021-06-12 00:00:00,1.8623,0.0750,0.0157
2021-06-13 00:00:00,1.7807,0.0279,-0.0438
2021-06-14 00:00:00,1.9456,0.1231,0.0926
2021-06-15 00:00:00,2.0176,0.1646,0.0370
2021-06-16 00:00:00,1.9986,0.1537,-0.0094
2021-06-17 00:00:00,1.9031,0.0985,-0.0478
2021-06-18 00:00:00,1.8891,0.0905,-0.0074
