datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
2021-11-20 00:00:00,0.0000,0.0000,0.0000,9991.2540,0.0000
2021-11-21 00:00:00,0.7917,0.0000,0.7917,9992.0457,0.7917
2021-11-22 00:00:00,-7.1253,0.0000,-7.1253,9984.1287,-7.9170
2021-11-23 00:00:00,30.8763,0.0000,30.8763,10022.1303,38.0016
2021-11-24 00:00:00,30.0846,0.0000,30.0846,10021.3386,-0.7917
2021-11-25 00:00:00,197.1333,0.0000,197.1333,10188.3873,167.0487
2021-11-26 00:00:00,248.5938,0.0000,248.5938,10239.8478,51.4605
2021-11-27 00:00:00,59.3775,0.0000,59.3775,10050.6315,-189.2163
2021-11-28 00:00:00,37.2099,0.0000,37.2099,10028.4639,-22.1676
2021-11-29 00:00:00,53.8356,0.0000,53.8356,10045.0896,16.6257
2021-11-30 00:00:00,29.2929,0.0000,29.2929,10020.5469,-24.5427
2021-12-01 00:00:00,12.6672,0.0000,12.6672,10003.9212,-16.6257
2021-12-02 00:00:00,36.4182,0.0000,36.4182,10027.6722,23.7510
2021-12-03 00:00:00,32.4597,0.0000,32.4597,10023.7137,-3.9585
2021-12-04 00:00:00,25.3344,0.0000,25.3344,10016.5884,-7.1253
2021-12-05 00:00:00,21.3759,0.0000,21.3759,10012.6299,-3.9585
2021-12-06 00:00:00,18.2091,0.0000,18.2091,10009.4631,-3.1668
2021-12-07 00:00:00,22.9593,0.0000,22.9593,10014.2133,4.7502
2021-12-08 00:00:00,22.9593,0.0000,22.9593,10014.2133,0.0000
2021-12-09 00:00:00,31.6680,0.0000,31.6680,10022.9220,8.7087
2021-12-10 00:00:00,9.5004,0.0000,9.5004,10000.7544,-22.1676
2021-12-11 00:00:00,0.7917,0.0000,0.7917,9992.0457,-8.7087
2021-12-12 00:00:00,1.5834,0.0000,1.5834,9992.8374,0.7917
2021-12-13 00:00:00,1.5834,0.0000,1.5834,9992.8374,0.0000
2021-12-14 00:00:00,-26.1261,0.0000,-26.1261,9965.1279,-27.7095
2021-12-15 00:00:00,-26.1261,0.0000,-26.1261,9965.1279,0.0000
2021-12-16 00:00:00,-24.5427,0.0000,-24.5427,9966.7113,1.5834
2021-12-17 00:00:00,-26.9178,0.0000,-26.9178,9964.3362,-2.3751
2021-12-18 00:00:00,-29.2929,0.0000,-29.2929,9961.9611,-2.3751
2021-12-19 00:00:00,-29.2929,0.0000,-29.2929,9961.9611,0.0000
2021-12-20 00:00:00,-35.6265,0.0000,-35.6265,9955.6275,-6.3336
2021-12-21 00:00:00,-22.1676,0.0000,-22.1676,9969.0864,13.4589
2021-12-22 00:00:00,-3.1668,0.0000,-3.1668,9988.0872,19.0008
2021-12-23 00:00:00,-14.2506,0.0000,-14.2506,9977.0034,-11.0838
2021-12-24 00:00:00,19.7925,0.0000,19.7925,10011.0465,34.0431
2021-12-25 00:00:00,19.0008,0.0000,19.0008,10010.2548,-0.7917
2021-12-26 00:00:00,27.7095,0.0000,27.7095,10018.9635,8.7087
2021-12-27 00:00:00,38.7933,0.0000,38.7933,10030.0473,11.0838
2021-12-28 00:00:00,-210.5922,0.0000,-210.5922,9780.6618,-249.3855
2021-12-29 00:00:00,-1063.2531,0.0000,-1063.2531,8928.0009,-852.6609
2021-12-30 00:00:00,-1146.3816,0.0000,-1146.3816,8844.8724,-83.1285
2021-12-31 00:00:00,-809.9091,0.0000,-809.9091,9181.3449,336.4725
2022-01-01 00:00:00,-665.0280,0.0000,-665.0280,9326.2260,144.8811
2022-01-02 00:00:00,76.7949,0.0000,76.7949,10068.0489,741.8229
2022-01-03 00:00:00,-38.7933,0.0000,-38.7933,9952.4607,-115.5882
2022-01-04 00:00:00,280.2618,0.0000,280.2618,10271.5158,319.0551
2022-01-05 00:00:00,134.5890,0.0000,134.5890,10125.8430,-145.6728
2022-01-06 00:00:00,-540.7311,0.0000,-540.7311,9450.5229,-675.3201
2022-01-07 00:00:00,-389.5164,0.0000,-389.5164,9601.7376,151.2147
2022-01-08 00:00:00,-906.4965,0.0000,-906.4965,9084.7575,-516.9801
2022-01-09 00:00:00,-927.0807,0.0000,-927.0807,9064.1733,-20.5842
2022-01-10 00:00:00,-922.3305,0.0000,-922.3305,9068.9235,4.7502
2022-01-11 00:00:00,-923.9139,0.0000,-923.9139,9067.3401,-1.5834
2022-01-12 00:00:00,-922.3305,0.0000,-922.3305,9068.9235,1.5834
2022-01-13 00:00:00,-920.7471,0.0000,-920.7471,9070.5069,1.5834
2022-01-14 00:00:00,-922.3305,0.0000,-922.3305,9068.9235,-1.5834
2022-01-15 00:00:00,-916.7886,0.0000,-916.7886,9074.4654,5.5419
2022-01-16 00:00:00,-920.7471,0.0000,-920.7471,9070.5069,-3.9585
2022-01-17 00:00:00,-916.7886,0.0000,-916.7886,9074.4654,3.9585
2022-01-18 00:00:00,-1014.9594,0.0000,-1014.9594,8976.2946,-98.1708
2022-01-19 00:00:00,-1015.7511,0.0000,-1015.7511,8975.5029,-0.7917
2022-01-20 00:00:00,-1023.6681,0.0000,-1023.6681,8967.5859,-7.9170
2022-01-21 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,-2.3751
2022-01-22 00:00:00,-1026.8349,0.0000,-1026.8349,8964.4191,-0.7917
2022-01-23 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.7917
2022-01-24 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-25 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-26 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-27 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-28 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-29 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-30 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-01-31 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-02-01 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-02-02 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-02-03 00:00:00,-1026.8349,0.0000,-1026.8349,8964.4191,-0.7917
2022-02-04 00:00:00,-1026.8349,0.0000,-1026.8349,8964.4191,0.0000
2022-02-05 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.7917
2022-02-06 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-02-07 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-02-08 00:00:00,-1026.0432,0.0000,-1026.0432,8965.2108,0.0000
2022-02-09 00:00:00,-1034.7519,0.0000,-1034.7519,8956.5021,-8.7087
2022-02-10 00:00:00,-1030.7934,0.0000,-1030.7934,8960.4606,3.9585
2022-02-11 00:00:00,-1236.6354,0.0000,-1236.6354,8754.6186,-205.8420
2022-02-12 00:00:00,-1466.2284,0.0000,-1466.2284,8525.0256,-229.5930
2022-02-13 00:00:00,-1445.6442,0.0000,-1445.6442,8545.6098,20.5842
2022-02-14 00:00:00,-1588.9419,0.0000,-1588.9419,8402.3121,-143.2977
2022-02-15 00:00:00,-1552.5237,0.0000,-1552.5237,8438.7303,36.4182
2022-02-16 00:00:00,-1288.0959,0.0000,-1288.0959,8703.1581,264.4278
2022-02-17 00:00:00,-1359.3489,0.0000,-1359.3489,8631.9051,-71.2530
2022-02-18 00:00:00,-2023.5852,0.0000,-2023.5852,7967.6688,-664.2363
2022-02-19 00:00:00,-2207.2596,0.0000,-2207.2596,7783.9944,-183.6744
2022-02-20 00:00:00,-2217.5517,0.0000,-2217.5517,7773.7023,-10.2921
2022-02-21 00:00:00,-2355.3075,0.0000,-2355.3075,7635.9465,-137.7558
2022-02-22 00:00:00,-2378.2668,0.0000,-2378.2668,7612.9872,-22.9593
2022-02-23 00:00:00,-2377.4751,0.0000,-2377.4751,7613.7789,0.7917
2022-02-24 00:00:00,-2617.3602,0.0000,-2617.3602,7373.8938,-239.8851
2022-02-25 00:00:00,-2617.3602,0.0000,-2617.3602,7373.8938,0.0000
2022-02-26 00:00:00,-2426.5605,0.0000,-2426.5605,7564.6935,190.7997
2022-02-27 00:00:00,-2426.5605,0.0000,-2426.5605,7564.6935,0.0000
2022-02-28 00:00:00,-2426.5605,0.0000,-2426.5605,7564.6935,0.0000
2022-03-01 00:00:00,-2425.7688,0.0000,-2425.7688,7565.4852,0.7917
2022-03-02 00:00:00,-2425.7688,0.0000,-2425.7688,7565.4852,0.0000
2022-03-03 00:00:00,-2424.1854,0.0000,-2424.1854,7567.0686,1.5834
2022-03-04 00:00:00,-2424.9771,0.0000,-2424.9771,7566.2769,-0.7917
2022-03-05 00:00:00,-2452.6866,0.0000,-2452.6866,7538.5674,-27.7095
2022-03-06 00:00:00,-2452.6866,0.0000,-2452.6866,7538.5674,0.0000
2022-03-07 00:00:00,-2459.0202,0.0000,-2459.0202,7532.2338,-6.3336
2022-03-08 00:00:00,-2457.4368,0.0000,-2457.4368,7533.8172,1.5834
2022-03-09 00:00:00,-2456.6451,0.0000,-2456.6451,7534.6089,0.7917
2022-03-10 00:00:00,-2450.3115,0.0000,-2450.3115,7540.9425,6.3336
2022-03-11 00:00:00,-2452.6866,0.0000,-2452.6866,7538.5674,-2.3751
2022-03-12 00:00:00,-2455.0617,0.0000,-2455.0617,7536.1923,-2.3751
2022-03-13 00:00:00,-2452.6866,0.0000,-2452.6866,7538.5674,2.3751
2022-03-14 00:00:00,-2454.2700,0.0000,-2454.2700,7536.9840,-1.5834
2022-03-15 00:00:00,-2451.8949,0.0000,-2451.8949,7539.3591,2.3751
2022-03-16 00:00:00,-2451.8949,0.0000,-2451.8949,7539.3591,0.0000
2022-03-17 00:00:00,-2450.3115,0.0000,-2450.3115,7540.9425,1.5834
2022-03-18 00:00:00,-2450.3115,0.0000,-2450.3115,7540.9425,0.0000
2022-03-19 00:00:00,-2447.9364,0.0000,-2447.9364,7543.3176,2.3751
2022-03-20 00:00:00,-2447.9364,0.0000,-2447.9364,7543.3176,0.0000
2022-03-21 00:00:00,-2461.3953,0.0000,-2461.3953,7529.8587,-13.4589
2022-03-22 00:00:00,-2455.8534,0.0000,-2455.8534,7535.4006,5.5419
2022-03-23 00:00:00,-2438.4360,0.0000,-2438.4360,7552.8180,17.4174
2022-03-24 00:00:00,-2403.6012,0.0000,-2403.6012,7587.6528,34.8348
2022-03-25 00:00:00,-2353.7241,0.0000,-2353.7241,7637.5299,49.8771
2022-03-26 00:00:00,-2402.0178,0.0000,-2402.0178,7589.2362,-48.2937
2022-03-27 00:00:00,-2326.0146,0.0000,-2326.0146,7665.2394,76.0032
2022-03-28 00:00:00,-2028.3354,0.0000,-2028.3354,7962.9186,297.6792
2022-03-29 00:00:00,-2122.5477,0.0000,-2122.5477,7868.7063,-94.2123
2022-03-30 00:00:00,-1926.2061,0.0000,-1926.2061,8065.0479,196.3416
2022-03-31 00:00:00,-1914.3306,0.0000,-1914.3306,8076.9234,11.8755
2022-04-01 00:00:00,-2152.6323,0.0000,-2152.6323,7838.6217,-238.3017
2022-04-02 00:00:00,-1989.5421,0.0000,-1989.5421,8001.7119,163.0902
2022-04-03 00:00:00,-2128.8813,0.0000,-2128.8813,7862.3727,-139.3392
2022-04-04 00:00:00,-2014.0848,0.0000,-2014.0848,7977.1692,114.7965
2022-04-05 00:00:00,-2139.1734,0.0000,-2139.1734,7852.0806,-125.0886
2022-04-06 00:00:00,-2315.7225,0.0000,-2315.7225,7675.5315,-176.5491
2022-04-07 00:00:00,-2838.2445,0.0000,-2838.2445,7153.0095,-522.5220
2022-04-08 00:00:00,-2703.6555,0.0000,-2703.6555,7287.5985,134.5890
2022-04-09 00:00:00,-2807.3682,0.0000,-2807.3682,7183.8858,-103.7127
2022-04-10 00:00:00,-2763.8247,0.0000,-2763.8247,7227.4293,43.5435
