datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-03-28 00:00:00,1.3343,0.0000,0.0000
2021-03-29 00:00:00,1.3339,-0.0003,-0.0003
2021-03-30 00:00:00,1.3416,0.0055,0.0058
2021-03-31 00:00:00,1.3460,0.0088,0.0033
2021-04-01 00:00:00,1.3463,0.0090,0.0002
2021-04-02 00:00:00,1.3461,0.0088,-0.0001
2021-04-03 00:00:00,1.3467,0.0093,0.0004
2021-04-04 00:00:00,1.3422,0.0059,-0.0033
2021-04-05 00:00:00,1.3445,0.0076,0.0017
2021-04-06 00:00:00,1.3464,0.0091,0.0014
2021-04-07 00:00:00,1.3447,0.0078,-0.0013
2021-04-08 00:00:00,1.3426,0.0062,-0.0016
2021-04-09 00:00:00,1.3440,0.0073,0.0010
2021-04-10 00:00:00,1.3439,0.0072,-0.0001
2021-04-11 00:00:00,1.3438,0.0071,-0.0001
2021-04-12 00:00:00,1.3438,0.0071,0.0000
2021-04-13 00:00:00,1.3440,0.0073,0.0001
2021-04-14 00:00:00,1.3390,0.0035,-0.0037
2021-04-15 00:00:00,1.3327,-0.0012,-0.0047
2021-04-16 00:00:00,1.3354,0.0008,0.0020
2021-04-17 00:00:00,1.3149,-0.0145,-0.0154
2021-04-18 00:00:00,1.2994,-0.0262,-0.0118
2021-04-19 00:00:00,1.2538,-0.0603,-0.0351
2021-04-20 00:00:00,1.2503,-0.0630,-0.0028
2021-04-21 00:00:00,1.2551,-0.0594,0.0038
2021-04-22 00:00:00,1.2399,-0.0707,-0.0121
2021-04-23 00:00:00,1.2286,-0.0792,-0.0091
2021-04-24 00:00:00,1.2259,-0.0812,-0.0022
2021-04-25 00:00:00,1.2213,-0.0847,-0.0038
2021-04-26 00:00:00,1.2170,-0.0879,-0.0035
2021-04-27 00:00:00,1.2360,-0.0737,0.0156
2021-04-28 00:00:00,1.2396,-0.0710,0.0029
2021-04-29 00:00:00,1.2390,-0.0714,-0.0005
2021-04-30 00:00:00,1.2352,-0.0743,-0.0031
2021-05-01 00:00:00,1.2456,-0.0665,0.0084
2021-05-02 00:00:00,1.2460,-0.0662,0.0003
2021-05-03 00:00:00,1.2434,-0.0681,-0.0021
2021-05-04 00:00:00,1.2453,-0.0667,0.0015
2021-05-05 00:00:00,1.2310,-0.0774,-0.0115
2021-05-06 00:00:00,1.2473,-0.0652,0.0132
2021-05-07 00:00:00,1.2427,-0.0687,-0.0037
2021-05-08 00:00:00,1.2468,-0.0656,0.0033
2021-05-09 00:00:00,1.2537,-0.0604,0.0055
2021-05-10 00:00:00,1.2506,-0.0627,-0.0025
2021-05-11 00:00:00,1.2395,-0.0710,-0.0089
2021-05-12 00:00:00,1.2436,-0.0680,0.0033
2021-05-13 00:00:00,1.2071,-0.0953,-0.0294
2021-05-14 00:00:00,1.2067,-0.0956,-0.0003
2021-05-15 00:00:00,1.2064,-0.0959,-0.0002
2021-05-16 00:00:00,1.2126,-0.0912,0.0051
2021-05-17 00:00:00,1.2135,-0.0905,0.0007
2021-05-18 00:00:00,1.2205,-0.0853,0.0058
2021-05-19 00:00:00,1.2225,-0.0838,0.0016
2021-05-20 00:00:00,1.2405,-0.0703,0.0147
2021-05-21 00:00:00,1.2287,-0.0791,-0.0095
2021-05-22 00:00:00,1.2406,-0.0702,0.0097
2021-05-23 00:00:00,1.2406,-0.0702,0.0000
2021-05-24 00:00:00,1.2522,-0.0615,0.0094
2021-05-25 00:00:00,1.2350,-0.0744,-0.0137
2021-05-26 00:00:00,1.2374,-0.0726,0.0019
2021-05-27 00:00:00,1.2335,-0.0755,-0.0032
2021-05-28 00:00:00,1.2376,-0.0725,0.0033
2021-05-29 00:00:00,1.2522,-0.0615,0.0118
2021-05-30 00:00:00,1.2467,-0.0657,-0.0044
2021-05-31 00:00:00,1.2517,-0.0619,0.0040
2021-06-01 00:00:00,1.2586,-0.0567,0.0055
2021-06-02 00:00:00,1.2563,-0.0585,-0.0018
2021-06-03 00:00:00,1.2594,-0.0561,0.0025
2021-06-04 00:00:00,1.2680,-0.0497,0.0068
2021-06-05 00:00:00,1.2551,-0.0594,-0.0102
2021-06-06 00:00:00,1.2472,-0.0653,-0.0063
2021-06-07 00:00:00,1.2488,-0.0641,0.0013
2021-06-08 00:00:00,1.2346,-0.0747,-0.0114
2021-06-09 00:00:00,1.2335,-0.0755,-0.0009
2021-06-10 00:00:00,1.2612,-0.0548,0.0225
2021-06-11 00:00:00,1.2560,-0.0587,-0.0041
2021-06-12 00:00:00,1.2609,-0.0550,0.0039
2021-06-13 00:00:00,1.2470,-0.0654,-0.0110
2021-06-14 00:00:00,1.2750,-0.0444,0.0225
2021-06-15 00:00:00,1.2873,-0.0352,0.0096
2021-06-16 00:00:00,1.2740,-0.0452,-0.0103
2021-06-17 00:00:00,1.2132,-0.0908,-0.0477
2021-06-18 00:00:00,1.2042,-0.0975,-0.0074
2021-06-19 00:00:00,1.1245,-0.1572,-0.0662
2021-06-20 00:00:00,1.1224,-0.1588,-0.0019
2021-06-21 00:00:00,1.1227,-0.1586,0.0003
2021-06-22 00:00:00,1.1092,-0.1687,-0.0120
2021-06-23 00:00:00,1.1122,-0.1665,0.0027
2021-06-24 00:00:00,1.1157,-0.1638,0.0031
2021-06-25 00:00:00,1.1187,-0.1616,0.0027
