datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-02-21 00:00:00,1.9314,0.0000,0.0000
2021-02-22 00:00:00,1.9889,0.0298,0.0298
2021-02-23 00:00:00,1.8558,-0.0391,-0.0669
2021-02-24 00:00:00,1.6434,-0.1491,-0.1145
2021-02-25 00:00:00,1.6771,-0.1317,0.0205
2021-02-26 00:00:00,1.5583,-0.1932,-0.0708
2021-02-27 00:00:00,1.5346,-0.2054,-0.0152
2021-02-28 00:00:00,1.5303,-0.2077,-0.0028
2021-03-01 00:00:00,1.5065,-0.2200,-0.0156
2021-03-02 00:00:00,1.6098,-0.1665,0.0686
2021-03-03 00:00:00,1.5844,-0.1797,-0.0158
2021-03-04 00:00:00,1.6247,-0.1588,0.0254
2021-03-05 00:00:00,1.5846,-0.1796,-0.0247
2021-03-06 00:00:00,1.5914,-0.1760,0.0043
2021-03-07 00:00:00,1.5942,-0.1746,0.0018
2021-03-08 00:00:00,1.6258,-0.1582,0.0198
2021-03-09 00:00:00,1.6443,-0.1486,0.0114
2021-03-10 00:00:00,1.6751,-0.1327,0.0187
2021-03-11 00:00:00,1.6873,-0.1264,0.0073
2021-03-12 00:00:00,1.7719,-0.0826,0.0501
2021-03-13 00:00:00,1.7436,-0.0972,-0.0160
2021-03-14 00:00:00,1.9288,-0.0013,0.1062
2021-03-15 00:00:00,1.8165,-0.0595,-0.0582
2021-03-16 00:00:00,1.6448,-0.1484,-0.0945
2021-03-17 00:00:00,1.7121,-0.1135,0.0409
2021-03-18 00:00:00,1.8180,-0.0587,0.0619
2021-03-19 00:00:00,1.7427,-0.0977,-0.0414
2021-03-20 00:00:00,1.7659,-0.0857,0.0133
2021-03-21 00:00:00,1.7689,-0.0841,0.0017
2021-03-22 00:00:00,1.7255,-0.1066,-0.0245
2021-03-23 00:00:00,1.6382,-0.1518,-0.0506
2021-03-24 00:00:00,1.6448,-0.1484,0.0040
2021-03-25 00:00:00,1.5970,-0.1731,-0.0291
2021-03-26 00:00:00,1.5763,-0.1839,-0.0130
2021-03-27 00:00:00,1.6511,-0.1451,0.0475
2021-03-28 00:00:00,1.6663,-0.1373,0.0092
2021-03-29 00:00:00,1.6620,-0.1395,-0.0026
2021-03-30 00:00:00,1.6940,-0.1229,0.0193
2021-03-31 00:00:00,1.7114,-0.1139,0.0103
2021-04-01 00:00:00,1.7120,-0.1136,0.0004
2021-04-02 00:00:00,1.7128,-0.1132,0.0005
2021-04-03 00:00:00,1.7171,-0.1110,0.0025
2021-04-04 00:00:00,1.7010,-0.1193,-0.0094
2021-04-05 00:00:00,1.7092,-0.1150,0.0048
2021-04-06 00:00:00,1.7159,-0.1116,0.0039
2021-04-07 00:00:00,1.7136,-0.1128,-0.0013
2021-04-08 00:00:00,1.7064,-0.1165,-0.0042
2021-04-09 00:00:00,1.7126,-0.1133,0.0036
2021-04-10 00:00:00,1.7135,-0.1128,0.0005
2021-04-11 00:00:00,1.7171,-0.1110,0.0021
2021-04-12 00:00:00,1.7201,-0.1094,0.0017
2021-04-13 00:00:00,1.7259,-0.1064,0.0034
2021-04-14 00:00:00,1.7138,-0.1127,-0.0070
2021-04-15 00:00:00,1.6881,-0.1260,-0.0150
2021-04-16 00:00:00,1.6973,-0.1212,0.0054
2021-04-17 00:00:00,1.6191,-0.1617,-0.0461
2021-04-18 00:00:00,1.5593,-0.1927,-0.0369
2021-04-19 00:00:00,1.3869,-0.2819,-0.1106
2021-04-20 00:00:00,1.3748,-0.2882,-0.0087
2021-04-21 00:00:00,1.3910,-0.2798,0.0118
2021-04-22 00:00:00,1.3402,-0.3061,-0.0365
2021-04-23 00:00:00,1.3037,-0.3250,-0.0272
2021-04-24 00:00:00,1.2942,-0.3299,-0.0073
2021-04-25 00:00:00,1.2781,-0.3383,-0.0124
2021-04-26 00:00:00,1.2642,-0.3454,-0.0109
2021-04-27 00:00:00,1.3331,-0.3098,0.0545
2021-04-28 00:00:00,1.3448,-0.3037,0.0088
2021-04-29 00:00:00,1.3429,-0.3047,-0.0014
2021-04-30 00:00:00,1.3309,-0.3109,-0.0089
2021-05-01 00:00:00,1.3659,-0.2928,0.0263
2021-05-02 00:00:00,1.3659,-0.2928,0.0000
2021-05-03 00:00:00,1.3586,-0.2966,-0.0053
2021-05-04 00:00:00,1.3685,-0.2914,0.0073
2021-05-05 00:00:00,1.2899,-0.3321,-0.0574
2021-05-06 00:00:00,1.3788,-0.2861,0.0689
2021-05-07 00:00:00,1.3555,-0.2982,-0.0169
2021-05-08 00:00:00,1.3765,-0.2873,0.0155
2021-05-09 00:00:00,1.4130,-0.2684,0.0265
2021-05-10 00:00:00,1.3960,-0.2772,-0.0120
2021-05-11 00:00:00,1.3344,-0.3091,-0.0441
2021-05-12 00:00:00,1.3574,-0.2972,0.0172
2021-05-13 00:00:00,1.1602,-0.3993,-0.1453
2021-05-14 00:00:00,1.1264,-0.4168,-0.0291
2021-05-15 00:00:00,1.1264,-0.4168,0.0000
2021-05-16 00:00:00,1.1381,-0.4107,0.0104
2021-05-17 00:00:00,1.1404,-0.4095,0.0020
2021-05-18 00:00:00,1.1518,-0.4036,0.0100
2021-05-19 00:00:00,1.1561,-0.4014,0.0037
2021-05-20 00:00:00,1.1870,-0.3854,0.0267
2021-05-21 00:00:00,1.1639,-0.3974,-0.0195
