datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-07-12 00:00:00,1.0003,0.0000,0.0000
2021-07-13 00:00:00,0.9992,-0.0011,-0.0011
2021-07-14 00:00:00,0.9988,-0.0015,-0.0004
2021-07-15 00:00:00,0.9989,-0.0014,0.0001
2021-07-16 00:00:00,0.9980,-0.0023,-0.0009
2021-07-17 00:00:00,0.9974,-0.0029,-0.0006
2021-07-18 00:00:00,0.9975,-0.0028,0.0001
2021-07-19 00:00:00,0.9974,-0.0029,-0.0001
2021-07-20 00:00:00,0.9977,-0.0026,0.0003
2021-07-21 00:00:00,0.9980,-0.0023,0.0003
2021-07-22 00:00:00,0.9970,-0.0033,-0.0010
2021-07-23 00:00:00,0.9968,-0.0035,-0.0002
2021-07-24 00:00:00,0.9977,-0.0026,0.0009
2021-07-25 00:00:00,0.9982,-0.0021,0.0005
2021-07-26 00:00:00,1.0018,0.0015,0.0036
2021-07-27 00:00:00,1.0213,0.0210,0.0195
2021-07-28 00:00:00,1.0461,0.0458,0.0243
2021-07-29 00:00:00,1.0530,0.0527,0.0066
2021-07-30 00:00:00,1.0551,0.0548,0.0020
2021-07-31 00:00:00,1.0873,0.0870,0.0305
2021-08-01 00:00:00,1.0780,0.0777,-0.0086
2021-08-02 00:00:00,1.0553,0.0550,-0.0211
2021-08-03 00:00:00,1.0462,0.0459,-0.0086
2021-08-04 00:00:00,1.0321,0.0318,-0.0135
2021-08-05 00:00:00,1.0615,0.0612,0.0285
2021-08-06 00:00:00,1.0767,0.0764,0.0143
2021-08-07 00:00:00,1.1044,0.1041,0.0257
2021-08-08 00:00:00,1.1941,0.1937,0.0812
2021-08-09 00:00:00,1.1737,0.1733,-0.0171
2021-08-10 00:00:00,1.2015,0.2011,0.0237
