datetime,pps,cum_pnl_rate,daily_pnl_rate
2023-10-19 00:00:00,0.4565,0.0000,0.0000
2023-10-20 00:00:00,0.4591,0.0057,0.0057
2023-10-21 00:00:00,0.4666,0.0221,0.0163
2023-10-22 00:00:00,0.4695,0.0285,0.0062
2023-10-23 00:00:00,0.4719,0.0337,0.0051
2023-10-24 00:00:00,0.4956,0.0857,0.0502
2023-10-25 00:00:00,0.5014,0.0984,0.0117
2023-10-26 00:00:00,0.5052,0.1067,0.0076
2023-10-27 00:00:00,0.5038,0.1036,-0.0028
2023-10-28 00:00:00,0.5010,0.0975,-0.0056
2023-10-29 00:00:00,0.5020,0.0997,0.0020
2023-10-30 00:00:00,0.5060,0.1084,0.0080
2023-10-31 00:00:00,0.5063,0.1091,0.0006
2023-11-01 00:00:00,0.5076,0.1119,0.0026
2023-11-02 00:00:00,0.5143,0.1266,0.0132
2023-11-03 00:00:00,0.5087,0.1143,-0.0109
2023-11-04 00:00:00,0.5089,0.1148,0.0004
2023-11-05 00:00:00,0.5123,0.1222,0.0067
2023-11-06 00:00:00,0.5136,0.1251,0.0025
2023-11-07 00:00:00,0.5146,0.1273,0.0019
2023-11-08 00:00:00,0.5161,0.1306,0.0029
2023-11-09 00:00:00,0.5179,0.1345,0.0035
2023-11-10 00:00:00,0.5378,0.1781,0.0384
2023-11-11 00:00:00,0.5398,0.1825,0.0037
2023-11-12 00:00:00,0.5374,0.1772,-0.0044
2023-11-13 00:00:00,0.5364,0.1750,-0.0019
2023-11-14 00:00:00,0.5328,0.1671,-0.0067
2023-11-15 00:00:00,0.5224,0.1444,-0.0195
2023-11-16 00:00:00,0.5428,0.1890,0.0391
2023-11-17 00:00:00,0.5256,0.1514,-0.0317
2023-11-18 00:00:00,0.5287,0.1582,0.0059
2023-11-19 00:00:00,0.5285,0.1577,-0.0004
2023-11-20 00:00:00,0.5370,0.1763,0.0161
2023-11-21 00:00:00,0.5380,0.1785,0.0019
2023-11-22 00:00:00,0.5204,0.1400,-0.0327
2023-11-23 00:00:00,0.5403,0.1836,0.0382
2023-11-24 00:00:00,0.5394,0.1816,-0.0017
2023-11-25 00:00:00,0.5435,0.1906,0.0076
2023-11-26 00:00:00,0.5441,0.1919,0.0011
2023-11-27 00:00:00,0.5405,0.1840,-0.0066
2023-11-28 00:00:00,0.5370,0.1763,-0.0065
2023-11-29 00:00:00,0.5424,0.1882,0.0101
2023-11-30 00:00:00,0.5413,0.1858,-0.0020
2023-12-01 00:00:00,0.5418,0.1869,0.0009
2023-12-02 00:00:00,0.5511,0.2072,0.0172
2023-12-03 00:00:00,0.5614,0.2298,0.0187
2023-12-04 00:00:00,0.5670,0.2421,0.0100
2023-12-05 00:00:00,0.5848,0.2811,0.0314
2023-12-06 00:00:00,0.6035,0.3220,0.0320
2023-12-07 00:00:00,0.5974,0.3087,-0.0101
2023-12-08 00:00:00,0.6016,0.3179,0.0070
2023-12-09 00:00:00,0.6084,0.3327,0.0113
2023-12-10 00:00:00,0.6018,0.3183,-0.0108
2023-12-11 00:00:00,0.6035,0.3220,0.0028
2023-12-12 00:00:00,0.5694,0.2473,-0.0565
2023-12-13 00:00:00,0.5695,0.2475,0.0002
2023-12-14 00:00:00,0.5872,0.2863,0.0311
2023-12-15 00:00:00,0.5934,0.2999,0.0106
2023-12-16 00:00:00,0.5753,0.2602,-0.0305
2023-12-17 00:00:00,0.5789,0.2681,0.0063
2023-12-18 00:00:00,0.5678,0.2438,-0.0192
2023-12-19 00:00:00,0.5815,0.2738,0.0241
2023-12-20 00:00:00,0.5744,0.2583,-0.0122
2023-12-21 00:00:00,0.5891,0.2905,0.0256
2023-12-22 00:00:00,0.5942,0.3016,0.0087
2023-12-23 00:00:00,0.6028,0.3205,0.0145
2023-12-24 00:00:00,0.5988,0.3117,-0.0066
2023-12-25 00:00:00,0.5883,0.2887,-0.0175
2023-12-26 00:00:00,0.5945,0.3023,0.0105
2023-12-27 00:00:00,0.5812,0.2732,-0.0224
2023-12-28 00:00:00,0.6027,0.3203,0.0370
2023-12-29 00:00:00,0.5919,0.2966,-0.0179
2023-12-30 00:00:00,0.5833,0.2778,-0.0145
2023-12-31 00:00:00,0.5833,0.2778,0.0000
2024-01-01 00:00:00,0.5837,0.2786,0.0007
2024-01-02 00:00:00,0.6071,0.3299,0.0401
2024-01-03 00:00:00,0.6143,0.3457,0.0119
2024-01-04 00:00:00,0.5821,0.2751,-0.0524
2024-01-05 00:00:00,0.5995,0.3133,0.0299
2024-01-06 00:00:00,0.5993,0.3128,-0.0003
2024-01-07 00:00:00,0.5952,0.3038,-0.0068
2024-01-08 00:00:00,0.5930,0.2990,-0.0037
2024-01-09 00:00:00,0.6301,0.3803,0.0626
2024-01-10 00:00:00,0.6236,0.3660,-0.0103
2024-01-11 00:00:00,0.6502,0.4243,0.0427
2024-01-12 00:00:00,0.6503,0.4245,0.0002
2024-01-13 00:00:00,0.6104,0.3371,-0.0614
2024-01-14 00:00:00,0.6146,0.3463,0.0069
2024-01-15 00:00:00,0.5961,0.3058,-0.0301
2024-01-16 00:00:00,0.6065,0.3286,0.0174
2024-01-17 00:00:00,0.6187,0.3553,0.0201
2024-01-18 00:00:00,0.6103,0.3369,-0.0136
2024-01-19 00:00:00,0.5913,0.2953,-0.0311
2024-01-20 00:00:00,0.5969,0.3076,0.0095
2024-01-21 00:00:00,0.5954,0.3043,-0.0025
2024-01-22 00:00:00,0.5930,0.2990,-0.0040
2024-01-23 00:00:00,0.5620,0.2311,-0.0523
2024-01-24 00:00:00,0.5588,0.2241,-0.0057
2024-01-25 00:00:00,0.5597,0.2261,0.0016
2024-01-26 00:00:00,0.5571,0.2204,-0.0046
2024-01-27 00:00:00,0.5779,0.2659,0.0373
2024-01-28 00:00:00,0.5810,0.2727,0.0054
2024-01-29 00:00:00,0.5797,0.2699,-0.0022
2024-01-30 00:00:00,0.5961,0.3058,0.0283
2024-02-02 00:00:00,0.5924,0.2977,-0.0062
2024-02-04 00:00:00,0.5920,0.2968,-0.0007
2024-02-05 00:00:00,0.5871,0.2861,-0.0083
2024-02-06 00:00:00,0.5891,0.2905,0.0034
2024-02-07 00:00:00,0.5992,0.3126,0.0171
2024-02-08 00:00:00,0.6152,0.3476,0.0267
2024-02-09 00:00:00,0.6231,0.3650,0.0128
2024-02-10 00:00:00,0.6455,0.4140,0.0359
2024-02-11 00:00:00,0.6524,0.4291,0.0107
2024-02-12 00:00:00,0.6579,0.4412,0.0084
2024-02-13 00:00:00,0.6861,0.5030,0.0429
2024-02-14 00:00:00,0.6823,0.4946,-0.0055
2024-02-15 00:00:00,0.7132,0.5623,0.0453
2024-02-16 00:00:00,0.7183,0.5735,0.0072
2024-02-17 00:00:00,0.7187,0.5744,0.0006
2024-02-18 00:00:00,0.7129,0.5617,-0.0081
2024-02-19 00:00:00,0.7259,0.5901,0.0182
2024-02-20 00:00:00,0.7282,0.5952,0.0032
2024-02-21 00:00:00,0.7389,0.6186,0.0147
2024-02-22 00:00:00,0.7308,0.6009,-0.0110
2024-02-23 00:00:00,0.7262,0.5908,-0.0063
2024-02-24 00:00:00,0.7169,0.5704,-0.0128
2024-02-25 00:00:00,0.7307,0.6007,0.0192
2024-02-26 00:00:00,0.7427,0.6269,0.0164
2024-02-27 00:00:00,0.7732,0.6938,0.0411
2024-02-28 00:00:00,0.8021,0.7571,0.0374
2024-02-29 00:00:00,0.8631,0.8907,0.0761
2024-03-01 00:00:00,0.8477,0.8570,-0.0178
2024-03-02 00:00:00,0.8672,0.8997,0.0230
2024-03-03 00:00:00,0.8626,0.8896,-0.0053
2024-03-04 00:00:00,0.8783,0.9240,0.0182
2024-03-05 00:00:00,0.9371,1.0528,0.0669
2024-03-06 00:00:00,0.8900,0.9496,-0.0503
2024-03-07 00:00:00,0.9348,1.0478,0.0503
2024-03-08 00:00:00,0.9460,1.0723,0.0120
2024-03-09 00:00:00,0.9591,1.1010,0.0138
2024-03-10 00:00:00,0.9627,1.1089,0.0038
2024-03-11 00:00:00,0.9660,1.1161,0.0034
2024-03-12 00:00:00,1.0108,1.2142,0.0464
2024-03-13 00:00:00,0.9976,1.1853,-0.0131
2024-03-14 00:00:00,1.0143,1.2219,0.0167
2024-03-15 00:00:00,0.9897,1.1680,-0.0243
2024-03-16 00:00:00,0.9587,1.1001,-0.0313
2024-03-17 00:00:00,0.9013,0.9744,-0.0599
2024-03-18 00:00:00,0.9402,1.0596,0.0432
2024-03-19 00:00:00,0.9218,1.0193,-0.0196
2024-03-20 00:00:00,0.8397,0.8394,-0.0891
