datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-05-19 00:00:00,1.4075,0.0000,0.0000
2021-05-20 00:00:00,1.4482,0.0289,0.0289
2021-05-21 00:00:00,1.4217,0.0101,-0.0183
2021-05-22 00:00:00,1.4484,0.0291,0.0188
2021-05-23 00:00:00,1.4484,0.0291,0.0000
2021-05-24 00:00:00,1.4746,0.0477,0.0181
2021-05-25 00:00:00,1.4357,0.0200,-0.0264
2021-05-26 00:00:00,1.4413,0.0240,0.0039
2021-05-27 00:00:00,1.4323,0.0176,-0.0062
2021-05-28 00:00:00,1.4417,0.0243,0.0066
2021-05-29 00:00:00,1.4748,0.0478,0.0230
2021-05-30 00:00:00,1.4619,0.0387,-0.0087
2021-05-31 00:00:00,1.4738,0.0471,0.0081
2021-06-01 00:00:00,1.4901,0.0587,0.0111
2021-06-02 00:00:00,1.4845,0.0547,-0.0038
2021-06-03 00:00:00,1.4919,0.0600,0.0050
2021-06-04 00:00:00,1.5124,0.0745,0.0137
2021-06-05 00:00:00,1.4817,0.0527,-0.0203
2021-06-06 00:00:00,1.4632,0.0396,-0.0125
2021-06-07 00:00:00,1.4672,0.0424,0.0027
2021-06-08 00:00:00,1.4332,0.0183,-0.0232
2021-06-09 00:00:00,1.4307,0.0165,-0.0017
2021-06-10 00:00:00,1.4961,0.0629,0.0457
2021-06-11 00:00:00,1.4839,0.0543,-0.0082
2021-06-12 00:00:00,1.4955,0.0625,0.0078
2021-06-13 00:00:00,1.4626,0.0391,-0.0220
2021-06-14 00:00:00,1.5290,0.0863,0.0454
2021-06-15 00:00:00,1.5580,0.1069,0.0190
2021-06-16 00:00:00,1.5336,0.0896,-0.0157
2021-06-17 00:00:00,1.4171,0.0068,-0.0760
